A,B,mech,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries,score,recent_rank,hist_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide3m_noscreen,B,0.19258440335956567,0.026892596454224083,0.11508398726709568,-0.14426722611904078,-0.9614741435582085,-0.06727943218599064,0.06988812728632969,-0.332627558844485,-0.5157518994912229,-0.044600376594196536,0,-0.9614741435582085,408,488,448.0,488,491,490
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide3m_bd7,B,0.1538608888658391,0.018019556563424133,0.09100335620554649,-0.1215229557224066,-0.20026622063550936,-0.01189976594400477,0.05281764847886773,-0.11029977432372684,-0.06104496602325835,-0.005290334251640538,0,-0.20026622063550936,425,326,375.5,312,422,360
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_noscreen,B,0.5096420435244688,0.049884300736757335,0.09688155010353869,-0.09149965150255183,-0.8640608392127178,-0.04917006701969184,0.05649691724503242,-0.2672532058695827,-0.336297461527592,-0.024974917531796793,0,-0.8640608392127178,278,483,380.5,482,426,470
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_bd7,B,0.3226203672429143,0.02859972017122687,0.07383725534874187,-0.07481867949324494,-0.234674907317467,-0.01049860056291052,0.04133843274709293,-0.0828865160699076,-0.011842390528922737,-0.0010668278960714872,0,-0.234674907317467,359,340,349.5,327,400,339
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_noscreen,B,0.4157902817361044,0.059541703735674224,0.1099518277306826,-0.12147981316945193,0.2493757241663195,0.016853754326021875,0.07980174179558056,-0.17210271873876248,0.32400084457964606,0.026994394683751578,0,0.2493757241663195,321,126,223.5,95,196,153
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_bd7,B,0.8197883254933287,0.07043331299590713,0.08677791907523084,-0.07054199811772788,-0.13680849549874874,-0.010789437209772212,0.06415775553934767,-0.15718575357597941,0.162224750036382,0.009037622142778168,0,-0.13680849549874874,141,299,220.0,281,190,247
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_noscreen,B,0.9875080741634229,0.10048918206059047,0.1012843118466443,-0.07927569635733978,0.10859856554083826,0.004932240362011564,0.06449584731378952,-0.11662425524441389,0.4140168810734188,0.02905595248176156,0,0.10859856554083826,68,187,127.5,156,71,105
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_bd7,B,0.6059074938017389,0.05000311265981585,0.08265078309762285,-0.08101762797489813,-0.0028005760261498903,-0.0014001147937539038,0.05010855598767076,-0.09337183868324184,0.21396569716433883,0.011339993406742455,0,-0.0028005760261498903,228,240,234.0,215,217,210
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_noscreen,B,1.05315784254031,0.10957775655464794,0.10426781776785361,-0.0818024331127964,-0.38894957065423447,-0.047243840511938306,0.10867079545437013,-0.31472701064688446,-0.027073770190099686,-0.0087455810396462,0,-0.38894957065423447,56,413,234.5,401,220,347
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_bd7,B,0.9415198591281276,0.08512931916285629,0.09255363597872546,-0.08161255433944767,0.29967414781823914,0.02312310378752569,0.09084704587574363,-0.1625612493330958,0.4494324951096982,0.03737211297473806,0,0.29967414781823914,88,104,96.0,74,37,91
