window,start_index,start_A,start_B,mechanism,case,date,daily_return
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-04,-0.00478531680561319
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-05,0.0028583342565487095
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-06,0.0026115364989745594
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-07,0.0018603812980475427
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-08,-0.0018560609918645997
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-11,0.0017867438960197002
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-12,0.00013251670436103453
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-13,-5.42691986115081e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-14,0.00225239439418287
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-15,-0.0006054333923734085
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-18,-0.0018989146852040123
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-19,-0.003793779129771478
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-20,0.0018527139802798694
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-21,-0.0016012032842024986
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-22,0.002418368502147482
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-26,6.02834165468243e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-27,0.0012705095272154718
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-28,-0.0005304377497921768
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-29,0.0008854083928984707
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-02,-0.002322386852715655
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-03,0.0023933205836304656
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-04,-0.0005632285261376009
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-05,0.0004824893512320689
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-08,0.0028725655423786065
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-09,-0.0035197088468243492
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-10,-0.005585873203089827
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-11,0.001432483307409194
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-12,0.0024842225454206955
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-16,0.0017441972559563432
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-17,4.896332345717438e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-18,-0.001173155987501851
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-19,0.002066996743680843
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-22,-0.00026752789143902084
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-23,0.0025559192730806837
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-24,-0.0022385572890036526
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-25,-0.0006591763218546006
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-26,0.007173992531129974
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-29,0.0007353163439456431
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-30,0.0033305118954363453
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-01-31,-0.0006312157599745521
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-01,-0.002433674143676457
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-02,-9.280210541702706e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-05,0.00033286581708066713
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-06,0.004035621746184087
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-07,-0.004812701168636157
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-08,-0.00221438891640099
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-09,0.0016424307968195334
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-12,0.002242295752499751
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-13,-0.004527270323811805
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-14,0.0005690197218581331
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-15,-0.0018683421414435134
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-16,5.130656378289197e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-20,0.002198601716310071
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-21,-5.8437917690536205e-06
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-22,-0.0002576891177159941
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-23,-0.0013265614318029486
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-26,0.0009411571022396603
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-27,3.256351981141274e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-02-28,0.0012748714040437881
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2018-03-01,-0.000842074852430048
