selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,sizing_mode,exposure_mode,full_matrix_replay_case,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,n_days,final_equity_multiple,mean_gross,median_gross,mean_gross_leverage,median_gross_leverage,return_on_gross,median_return_on_gross,active_days,efficiency_days,allocator_different_weight_days,allocator_identical_weight_days,allocator_different_weight_fraction,allocator_mean_abs_daily_weight_difference,allocator_max_abs_daily_weight_difference,v1_allocator_months,v1_v2_allocator_different_months,v1_v2_allocator_mean_abs_monthly_difference,v1_v2_allocator_max_abs_monthly_difference
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v1,actual,case_1_v1_sizing_v1_allocator,1205208.680930074,0.20520868093007416,0.11070190382752743,0.08179051653299114,1.324167653104005,-0.050959750898283085,448,1.2052086809300742,929964.077402374,900915.9957830567,0.8497485394696541,0.810907833011227,0.00021837722380790292,0.0002605295665590483,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v2,actual,case_2_v2_sizing_v2_allocator,1027686.0307307629,0.027686030730762923,0.015480305371055936,0.05633080343137766,0.30083027919640615,-0.06743373653035889,448,1.027686030730763,414478.03425726487,374767.32438373566,0.4091897495814022,0.37078202189713927,-4.309870279450378e-06,0.00015650415812495092,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v1,matched_to_v2,,1093765.6308436582,0.0937656308436583,0.05170733603405542,0.03795439081197174,1.3472405405655439,-0.020142005945598784,448,1.0937656308436583,414478.03425726487,374767.32438373566,0.39650784553341883,0.3553877499574096,0.00021837722380790297,0.0002605295665590483,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v2,matched_to_v1,,1027589.374568624,0.02758937456862398,0.015426580910822496,0.158199876521434,0.17892783999882655,-0.2079729374536451,448,1.027589374568624,929964.077402374,900915.9957830567,0.9248554883366594,0.8808389412095162,-4.309870279450338e-06,0.00015650415812495092,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v1,actual,case_1_v1_sizing_v1_allocator,1172222.5534543411,0.17222255345434112,0.09759750840795567,0.08650588602826968,1.119291728722182,-0.047043046639273056,430,1.1722225534543411,955716.3207244066,912911.3910530636,0.8820847235366611,0.8369259094062288,0.0004879137271295759,0.0003171430839070477,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v2,actual,case_2_v2_sizing_v2_allocator,1072552.797707107,0.07255279770710699,0.04190173525177676,0.05549610239396903,0.7670174467669238,-0.031303706954716404,430,1.072552797707107,498371.45700245316,468438.6759849803,0.4794776802337123,0.4513851158407305,0.0004421788205804454,0.00032199604159636986,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v1,matched_to_v2,,1090173.1807375134,0.09017318073751324,0.05189914796075401,0.0493107145540807,1.050578148920657,-0.0288988634244699,430,1.0901731807375132,498371.45700245316,468438.6759849803,0.477089448499121,0.44496628968340474,0.000487913727129576,0.00031714308390704763,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v2,matched_to_v1,,1141904.2562827652,0.14190425628276526,0.08087053961950419,0.09837263958147471,0.8387278921009681,-0.059644079558895946,430,1.1419042562827653,955716.3207244066,912911.3910530636,0.890157893893418,0.844806276399481,0.0004421788205804453,0.00032199604159636986,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v1,actual,case_1_v1_sizing_v1_allocator,1180517.084749401,0.1805170847494011,0.10214239006498627,0.08568713647945235,1.1774006485894541,-0.04679781210492173,430,1.180517084749401,929198.65571098,875966.5602208024,0.8610329389797001,0.8055621429488009,0.0003996108409574965,0.000308300520212563,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v2,actual,case_2_v2_sizing_v2_allocator,1076920.4856865716,0.0769204856865715,0.04438616242376603,0.05509713818905166,0.8154043224405962,-0.031235798088710354,430,1.0769204856865715,485175.70056049724,430255.07282645494,0.46791511979018985,0.4005341969789959,0.0003642332770169224,0.00016709366087949357,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
