A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.3938615683895071,-0.5425470702632729,-0.1820843126392196,-0.5425470702632729,0.03909306867866735,-0.030987940296622885,367,444,405.5,443,459,431
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.2759588245920305,0.05647738114918157,0.1165207905235359,0.05647738114918157,0.030046212496097246,0.000687836618508797,411,201,306.0,184,356,278
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.11278619984512903,0.3635216873685746,0.2749175054396905,0.11278619984512903,0.012449376195482498,0.023377744190998806,460,76,268.0,158,294,182
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,0.5723970143455304,-0.08372734400412853,0.1376483437064907,-0.08372734400412853,0.059954864480387095,-0.008200188460066093,265,266,265.5,253,288,269
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.1978083139135805,-0.6132016220801232,-0.2716046538640901,-0.6132016220801232,0.01953895485266959,-0.03279661204734208,442,454,448.0,453,488,461
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_noscreen,0.2959542900519728,-0.9918301438935118,-0.5007123469253485,-0.9918301438935118,0.03341747188933601,-0.05808726551680021,405,491,448.0,491,488,490
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_bd7,0.3817229282799506,-0.656267153629049,-0.2261785430983477,-0.656267153629049,0.03215642379116952,-0.03374066281593724,371,459,415.0,458,468,447
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_noscreen,0.23382454051223442,-0.7541409650159728,-0.3531149076599519,-0.7541409650159728,0.025456954713112732,-0.038121224374673024,433,475,454.0,475,492,479
core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_bd7,0.3690054401301374,-0.6902278526701753,-0.2106688201825782,-0.6902278526701753,0.03789534347413039,-0.03047868224040917,375,466,420.5,466,470,443
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_noscreen,0.2759226093330643,-0.6589887728274657,-0.3182049049635019,-0.6589887728274657,0.030672748093234746,-0.05093005401843853,412,461,436.5,460,484,471
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_bd7,0.3046205737252689,-0.5368605115897455,-0.1944620289037406,-0.5368605115897455,0.032310270074328296,-0.03014071354511283,403,442,422.5,441,472,436
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_noscreen,0.6409047952740549,-0.6788933603543175,-0.190177553165147,-0.6788933603543175,0.06656491069160975,-0.04376991901616667,232,465,348.5,465,406,433
core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_bd7,0.5067012127507515,-0.4544554583305108,-0.0670773141979257,-0.4544554583305108,0.04871976356753369,-0.02261110123072707,310,425,367.5,422,428,385
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.5072115190240899,-0.09632354913784615,0.1131082518095873,-0.09632354913784615,0.06142987425020059,-0.010840055492032818,309,275,292.0,263,339,281
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.4053958474344883,-0.2452523660894686,0.0027660217853243,-0.2452523660894686,0.04489803691627252,-0.01701995138322898,363,339,351.0,330,409,342
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_noscreen,1.057994358772491,-0.2862574905981362,0.2125696881949366,-0.2862574905981362,0.11320426582320589,-0.019719510987790234,83,362,222.5,354,196,225
core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.4868161288160713,-0.25953952866939795,0.0456205724486421,-0.25953952866939795,0.051089682488690016,-0.014720772390878656,321,350,335.5,341,392,322
