A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_bd7,1.021059510821166,-0.3848307208506448,0.043448815355799045,-0.3848307208506448,0.04703417442163009,-0.013336248346618396,85,413,249.0,408,255,335
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_noscreen,0.7375412358414793,-0.47788298084181136,-0.12162415601672916,-0.47788298084181136,0.030532974695331207,-0.016035449463848717,200,439,319.5,437,378,414
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_bd7,1.0378099162565748,-0.3288134956305039,0.1460501934793362,-0.3288134956305039,0.05216382039002987,-0.010081032998069284,79,389,234.0,382,219,267
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide3m_noscreen,0.48609015815890927,-0.7316810967581167,-0.2898246315790888,-0.7316810967581167,0.04219157797146329,-0.04153920984900894,317,475,396.0,475,452,469
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide3m_bd7,0.8386216292346044,-0.20272276672634884,0.12464857341476572,-0.20272276672634884,0.0517024491944809,-0.009856171610408526,155,336,245.5,325,248,281
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide1m_noscreen,0.7766729994277984,-0.7472412684383135,-0.2172778155478138,-0.7472412684383135,0.05708201726247526,-0.03790990513818404,182,476,329.0,476,395,453
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide1m_bd7,0.8897860892148728,-0.2586035932776058,0.13051791247464242,-0.2586035932776058,0.055402144377662534,-0.01086261019762802,140,366,253.0,356,269,275
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_noscreen,0.8646955993351606,0.22394989470000778,0.43113390613024494,0.22394989470000778,0.08250914252955477,0.013286965469911705,151,131,141.0,103,73,97
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,0.8328826092582574,0.055021792765247254,0.2913065013459438,0.055021792765247254,0.05459389765396683,0.0014978242232139838,157,211,184.0,192,128,177
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_noscreen,1.1651787585203242,0.0686718102086544,0.4395939016627783,0.0686718102086544,0.09613762696759368,0.0022688884872203996,32,207,119.5,188,51,94
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_bd7,0.8885944653631068,0.014416814254360227,0.2950601970339493,0.014416814254360227,0.055076733108376616,-0.00033064659713422095,142,230,186.0,212,130,172
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_noscreen,1.1872430063268378,0.02876501217651459,0.365985636723997,0.02876501217651459,0.09858252747112531,-0.00042484044691115663,27,221,124.0,203,52,128
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_bd7,1.0476490976694568,0.35048785131742466,0.5341784480573816,0.35048785131742466,0.06941286303401992,0.018021731272757968,74,82,78.0,50,13,59
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide1m_noscreen,1.1895813009933895,0.35136747758775777,0.611761532610511,0.35136747758775777,0.08765359858446709,0.018092491068902206,25,81,53.0,49,4,27
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide1m_bd7,0.8108167397680397,0.43376492434971037,0.5472904788643336,0.43376492434971037,0.0534118536199101,0.017470704743687726,164,64,114.0,31,45,54
core-2m/cross_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,0.6945352989076033,-0.1838236028536809,-0.00934683870688197,-0.1838236028536809,0.12640950244048368,-0.10030610940356544,212,321,266.5,310,299,362
