trade_id,pair,entry_date,exit_date,holding_days,exit_reason,hr_entry,anchor_hr,entry_drift,trade_return,trade_pnl,is_win,entry_notional,entry_score,entry_phi,entry_z,mae,mfe,fold_id
3,MO-PG,2022-04-20,2022-04-27,7,signal,-0.11021043580746337,-0.28133177838924617,0.6082545795627184,0.02163240565336508,3918.1609802246094,True,181124.6073603058,1.1376292915564483,0.8771655920014105,2.366548586172967,2.47144322054756,0.8415621277390972,9
4,EOG-XOM,2022-05-06,2022-05-12,6,signal,1.0273159460047678,0.9773692569036809,0.051103192317833585,0.04178966919609826,7598.610382080078,True,181829.8763367462,1.8279580676283997,0.7827280583083325,-2.5884492064040874,-2.5884492064040874,-0.6702872088761094,9
5,CRM-TXN,2022-05-17,2022-05-18,1,signal,0.1981778465617941,0.6036407315111354,0.6716957020682123,0.018998012251347784,3480.3907470703125,True,183197.62620552062,1.3273077428133513,0.8344679674284177,2.229349037990903,2.229349037990903,0.9598088981743984,9
2,PEP-PG,2022-06-13,2022-06-15,2,stop_loss,0.8621378197681375,1.5019300155855824,0.42598003181126814,-0.030298484857882734,-5449.4310302734375,False,179858.20267364502,0.3068749093566792,0.9705550398915401,-2.2108140351821857,-6.4391064601775625,-2.2108140351821857,10
1,AVGO-CRM,2022-06-02,2022-06-17,15,max_exit_on_loss,1.201305441883135,1.6106418836032281,0.2541449132096025,-0.02915476616753472,-5247.85791015625,False,180000.0,0.6073947980105857,0.9380803452176985,2.2203407232448384,2.8650572124935656,2.0102475951587278,10
3,PEP-PG,2022-07-29,2022-08-05,7,signal,1.3609289696951734,1.5019300155855824,0.09387990414149526,0.04501226156172241,8015.535430908203,True,178074.48799072264,0.5935802240371221,0.9526797116262484,-2.7577071326870457,-2.7577071326870457,-0.6694350238090552,10
4,PEP-WMT,2022-08-29,2022-08-31,2,timeout,1.2386298171515073,3.2611943192908353,0.6201913483582744,-0.013264060881190386,-2381.128189086914,False,179517.2843682861,0.6459584673686617,0.9348523065515779,2.258814285668686,3.405985722631097,2.258814285668686,10
1,HON-UNP,2022-09-06,2022-09-14,8,signal,0.7781251070895036,0.8445132819452408,0.07861116725461034,0.020386439005533854,3669.5590209960938,True,180000.0,1.2590483647868531,0.8448419345334466,2.210427361940622,2.3144078521519886,0.12148458193732457,11
2,RTX-UNP,2022-10-20,2022-10-25,5,signal,0.7271833442792208,0.675409385264059,0.07665567009395372,0.03440081622729924,6214.869369506836,True,180660.5206237793,0.43010280323513,0.9612916480738674,-2.4011021921433486,-2.4011021921433486,-0.9593278029696717,11
4,HON-UNP,2022-10-20,2022-10-27,7,stop_loss,1.0274472378177242,0.8445132819452408,0.2166146581509242,-0.05746812749364367,-10382.22183227539,False,180660.5206237793,0.909920361304081,0.918897335623505,-2.6385307795622013,-5.265981907577316,-2.6385307795622013,11
3,UNP-UPS,2022-10-20,2022-10-28,8,signal,1.2094039174708608,0.938481179137175,0.28868212208876476,0.04061652820310584,7337.803131103516,True,180660.5206237793,1.9020621495940302,0.7650120832910831,2.5774046510614665,2.675359444395334,0.47553119827354084,11
6,RTX-UPS,2022-11-10,2022-11-11,1,stop_loss,0.8147933019870714,0.9089468142781847,0.10358528223225325,-0.06889872495568646,-12443.6509475708,False,180607.8553060913,-0.04120705492746029,1.0034520636102697,2.370960747512817,7.369808598850579,2.370960747512817,11
5,UNP-UPS,2022-11-08,2022-11-15,7,signal,1.126794464721394,0.938481179137175,0.20065749827540647,0.048442768864042016,8779.341217041016,True,181231.2017440796,1.57170744305605,0.7811447959813628,-2.216302049258839,-3.9639103344764957,0.9201046747902111,11
7,HON-UNP,2022-11-30,2022-11-30,1,timeout,0.27481902535484404,0.8445132819452408,0.6745829447207397,0.0,0.0,False,180571.62599258422,0.2737121825317693,0.9744597915384323,2.2556991719098396,2.2556991719098396,2.2556991719098396,11
8,RTX-UPS,2022-11-30,2022-11-30,1,timeout,0.6649003815661607,0.9089468142781847,0.2684936333770274,0.0,0.0,False,180571.62599258422,0.2227486097633886,0.9789398574874482,2.2063526578478494,2.2063526578478494,2.2063526578478494,11
1,INTC-NVDA,2022-12-08,2022-12-27,19,signal,1.304707484979366,1.883834607551555,0.3074193032927069,0.06284221442540487,11311.598596572876,True,180000.0,0.4129905006123813,0.9618687835634203,2.337768713426485,4.164600274022871,-0.5410857106576196,12
2,ADBE-CSCO,2022-12-16,2023-01-05,20,max_exit_on_loss,0.29307836398424447,0.8036710843669841,0.6353254836646397,-0.00292123561971415,-522.5194702148438,False,178869.33415729523,0.3221133403003186,0.969307006212636,-2.2317975086823645,-2.8762661001982726,-1.9356767459770299,12
3,PYPL-V,2023-01-04,2023-01-10,6,stop_loss,-0.22329970011195488,-0.2554223695536475,0.1257629451086341,-0.040527096684375846,-7377.442329406738,False,182037.27710529327,0.9651751908772248,0.9047813731864609,2.451816698457264,4.856211649867087,1.7747385880219644,12
5,CL-WMT,2023-01-11,2023-01-17,6,signal,0.7834877927663593,1.4116268127933194,0.4449752684875701,0.02293504292434443,4139.663543701172,True,180495.12954288482,0.7616068190849155,0.9253682383243018,2.369182885124492,2.369182885124492,-0.03183141317660244,12
4,ADBE-CSCO,2023-01-06,2023-01-17,11,signal,0.4840497121310692,0.8036710843669841,0.3977017195880158,0.021840425936784487,3958.8836669921875,True,181264.03205005644,0.50783386499317,0.9584911328306078,2.6586079918791894,3.189546687140233,-0.472128580134231,12
6,INTC-NVDA,2023-01-17,2023-01-24,7,stop_loss,1.3549983211651844,1.883834607551555,0.2807233099267171,-0.07364541149372197,-13408.755071640015,False,182071.83312137602,0.4767211648573266,0.9580130540940224,2.469667897409737,4.655542735259321,2.469667897409737,12
8,COP-SLB,2023-01-20,2023-02-01,12,signal,1.4750111171304996,1.9663883568779963,0.24988819631115422,0.020858912609291312,3759.0353660583496,True,180212.43180164337,0.2624060487555735,0.9751671630539545,-2.220980669957757,-4.356174205403526,-0.8000099872069375,12
7,ADBE-CSCO,2023-01-18,2023-02-02,15,max_exit_on_loss,0.6617822162297882,0.8036710843669841,0.17655091852527638,-0.04688156690726882,-8508.4599609375,False,181488.38706195832,0.9446739655967166,0.8955668618919993,-2.228475846830294,-4.418781069493722,-2.228475846830294,12
9,CL-WMT,2023-01-27,2023-02-03,7,signal,0.8955869400994091,1.4116268127933194,0.36556394935058895,0.04486308172088361,7985.476531982422,True,177996.6115940094,1.0518265600582004,0.9055233435228226,2.6889456878314704,2.6889456878314704,0.38578272244989825,12
10,INTC-NVDA,2023-01-27,2023-02-03,7,signal,1.8892731989313432,1.883834607551555,0.0028869792273625828,0.1088118873058607,19368.147241592407,True,177996.6115940094,0.6989349937848456,0.9371891575984039,2.523200401092922,2.523200401092922,0.7864450656324155,12
