A,B,joined_sh,joined_ret
sp500-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide3m_bd7,0.37770228895984126,0.022819417293712486
sp500-12m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_bd7,0.37730345274697613,0.018592228848363933
sp500-12m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.376088735782203,0.034849271328372525
sp500-12m/cross_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.3726806139113277,0.022910138074644815
sp500-2m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.37224341059181393,0.03158788286362348
sp500-12m/cross_sector_slide3m_bd7,core-12m/cross_sector_slide1m_bd7,0.36757954811797483,0.02456862660793231
sp500-12m/cross_sector_slide3m_bd7,core-12m/same_sector_slide3m_bd7,0.3606727785892705,0.024580174552656774
sp500-2m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.3582056458723374,0.022478925635056334
sp500-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.35727766559933855,0.030356667572882044
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.3570393356636054,0.023819113741176023
sp500-12m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_bd7,0.35591633296186187,0.020816792523055638
sp500-12m/cross_sector_slide1m_noscreen,core-12m/same_sector_slide3m_noscreen,0.3544058687322617,0.020010948872222656
sp500-12m/cross_sector_slide3m_bd7,core-2m/same_sector_slide3m_noscreen,0.35126761960144226,0.02537277740899979
sp500-12m/cross_sector_slide1m_bd7,core-2m/same_sector_slide3m_bd7,0.348884451125788,0.017550920053371843
sp500-12m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.3483673984615888,0.024368937801987966
sp500-12m/cross_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_bd7,0.34821774780523695,0.017012830249444378
core-12m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,0.34530001297724205,0.018221333240431514
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_noscreen,0.3445535805696685,0.022822062700107226
sp500-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.3436223195053396,0.017931378248083663
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.34218008039755904,0.023360854248868447
sp500-12m/same_sector_slide1m_noscreen,core-2m/same_sector_slide1m_noscreen,0.342121012682645,0.021082623844824778
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_bd7,0.3418302826014303,0.02321226088781747
sp500-2m/cross_sector_slide1m_noscreen,core-12m/same_sector_slide3m_bd7,0.338925000205492,0.018287385754452413
sp500-12m/cross_sector_slide1m_bd7,core-2m/same_sector_slide3m_noscreen,0.33854597816667353,0.019658320637666416
sp500-2m/cross_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_bd7,0.33830741145192195,0.026673103475063176
sp500-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_noscreen,0.3365395188238996,0.022147804876813514
core-2m/cross_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,0.3359426714067709,0.02531151286658879
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_bd7,0.33457168616553723,0.015949457175620775
sp500-12m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,0.3331650180057594,0.0275794972176723
sp500-12m/cross_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_noscreen,0.33202435726648766,0.021200932082806778
sp500-2m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.33155782806055767,0.022053239469726548
core-12m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.3300645268195104,0.025558496294972775
sp500-12m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.3280915433534601,0.020878138207662645
sp500-12m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_noscreen,0.32474185336810807,0.023414723580882278
core-2m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.32362532209665973,0.027737820856288575
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.3233846468145153,0.02384698707062327
sp500-12m/same_sector_slide1m_bd7,core-12m/cross_sector_slide1m_bd7,0.3211868890133118,0.015327901761323837
sp500-2m/cross_sector_slide1m_noscreen,core-12m/same_sector_slide1m_bd7,0.3204807013801603,0.016543222961991243
sp500-12m/cross_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_bd7,0.3169152119269259,0.013977173161857693
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.3164552871303562,0.019544643920109506
sp500-2m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.3161957149482578,0.024336345354563037
core-12m/cross_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.31090084645143884,0.023593371532177977
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.30823243333577943,0.017177108437079182
sp500-12m/same_sector_slide1m_noscreen,core-2m/same_sector_slide3m_bd7,0.3070286571397891,0.01839465941768852
sp500-2m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.3068136985088187,0.020380129542223235
sp500-12m/same_sector_slide3m_bd7,core-12m/same_sector_slide1m_bd7,0.30259231800046354,0.014553356543953112
sp500-12m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide3m_bd7,0.2958154216335828,0.014018989463255683
sp500-12m/cross_sector_slide1m_bd7,core-12m/same_sector_slide1m_noscreen,0.29246097302029994,0.012025803822209191
core-2m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.29152752126659387,0.021748312089497724
core-2m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.29094223375271167,0.018779300777650797
sp500-12m/same_sector_slide3m_bd7,core-12m/same_sector_slide3m_bd7,0.28953844796551187,0.014417664349327852
sp500-12m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_bd7,0.2836312094983547,0.010939351925288587
sp500-12m/cross_sector_slide3m_bd7,core-12m/same_sector_slide1m_bd7,0.28255917861375085,0.017521445319052042
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_bd7,0.28055487452404015,0.016919483986233975
sp500-12m/same_sector_slide3m_noscreen,core-2m/same_sector_slide3m_bd7,0.2767913993294232,0.021026015528944987
core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.2749175054396905,0.019527907382532295
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,0.27182224992226744,0.013345904340759596
sp500-12m/cross_sector_slide3m_bd7,core-2m/cross_sector_slide1m_bd7,0.2699140975088838,0.019125427760374604
core-12m/cross_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.2698676355778362,0.014795103528911557
core-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.2694595855290482,0.0217089091120656
sp500-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.266937426135139,0.016511697050993625
sp500-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.2666443858230844,0.015689295192077023
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.26640780698255584,0.012888882620112651
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_bd7,0.26558520510111894,0.011732901458039579
sp500-12m/cross_sector_slide1m_bd7,core-2m/cross_sector_slide1m_bd7,0.2642788326990595,0.015048786914795897
core-12m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.26406541526875627,0.019424582056242423
core-2m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.26391544970636627,0.01476547735923055
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.26284117552830744,0.01668997810988202
sp500-12m/cross_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.2604821538053882,0.01693986731741397
sp500-12m/cross_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.2596343802221332,0.023023192614562225
sp500-12m/cross_sector_slide3m_bd7,core-12m/cross_sector_slide3m_bd7,0.25864875682840777,0.016978119721268347
sp500-12m/cross_sector_slide1m_bd7,core-12m/same_sector_slide3m_noscreen,0.25726844746052413,0.011229083402219819
sp500-12m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_bd7,0.25456355706931894,0.010729367705555238
sp500-12m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide1m_noscreen,0.2531624251272191,0.012719940585873602
sp500-12m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_bd7,0.2438071308263993,0.015441972527071269
sp500-12m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_bd7,0.24290209960274792,0.010523800274111927
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.24274058769684542,0.013596201254394202
core-2m/cross_sector_slide1m_noscreen,core-12m/same_sector_slide1m_bd7,0.24231350818952055,0.012598191798680025
sp500-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.24193845030486433,0.018133469296357597
sp500-2m/cross_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,0.24165932009346863,0.019565113950613798
sp500-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.2404616618689624,0.011292698598827467
sp500-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.23694625547762893,0.018149291714174298
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.2364531281030089,0.011881740161329368
core-12m/cross_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.23634587543821803,0.011390230394817102
sp500-12m/cross_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_bd7,0.23496422158032465,0.019766019621471488
core-2m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.23322449477133556,0.015766065106947825
core-2m/cross_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_bd7,0.2324651298444925,0.013240356220128069
core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.23241638882732016,0.01816792951442565
